i'll,-0.451805468288,-1531.75695464
mission,-0.427177045108,-7255.88691038
tis,-0.411591023555,-862.503686427
oft,-0.379411296933,-1125.23208632
greet,-0.378378459576,-3337.90920002
wondrous,-0.374001996655,-2558.99285567
our,-0.371281317314,-222.89616295
anxious,-0.369532107402,-4356.5701405
cheer,-0.359155744491,-2087.74192799
we'll,-0.356351183032,-1383.54038052
i've,-0.35515140295,-1298.35173021
appear,-0.353888168927,-3252.31121216
grand,-0.35051204049,-1868.667141
join,-0.349535596327,-3042.98015327
guide,-0.348326648703,-2631.00409145
true,-0.347687374253,-896.1875203
to,-0.346771999778,-101.866150454
reign,-0.340754106043,-2457.97931279
earthly,-0.330739717611,-1933.86552257
view,-0.330592363092,-1466.7885655
plan,-0.324875869884,-2898.92439855
rays,-0.323825871867,-2682.97022006
saviour,-0.32352141875,-1174.86321636
purest,-0.322459230311,-4854.30408833
spotless,-0.320607622726,-7588.25437221
tell,-0.317709193693,-952.769032873
reigns,-0.313441458506,-4286.62060168
throng,-0.311197395895,-2433.22433369
nation,-0.310989650431,-1231.08595957
neath,-0.309886833605,-1437.0485441
hail,-0.30964409041,-1749.34122991
fondly,-0.308985772617,-3142.07318721
command,-0.308921120867,-2825.39613492
ray,-0.307983421772,-1543.09732847
loving,-0.307725421837,-1740.8587533
joyful,-0.305762093241,-4022.89179402
pleasures,-0.300595789854,-3620.19639899
band,-0.299550958203,-1606.23018831
brave,-0.295084556701,-1007.95724053
raging,-0.293096566924,-4297.90167981
sacred,-0.291544223051,-1266.87174577
welcome,-0.289881570754,-1402.29384563
safely,-0.287785444514,-6131.64885618
home,-0.287501223942,-441.10610059
notes,-0.28560139227,-1961.19834295
peaceful,-0.285171339384,-2711.38388292
gallant,-0.282182461231,-2926.15802068
soon,-0.281302528371,-882.706181266
he's,-0.280960717576,-1931.25380519
ones,-0.280820497468,-1534.25583327
form,-0.280799544335,-834.442193462
dire,-0.279941728803,-3753.79510975
complete,-0.278173176905,-3207.03221774
wealth,-0.276954609546,-1604.57215302
heavenly,-0.27688526582,-953.56325511
friends,-0.276662651823,-1025.45238227
impart,-0.27662732534,-3833.48992626
realms,-0.275893067607,-2486.63845808
hearts,-0.275435042805,-678.916035657
strains,-0.271977153791,-2646.50855191
quickly,-0.269204317153,-2223.08363324
roam,-0.267661990829,-2416.24689092
care,-0.267058317237,-941.860343649
blooming,-0.267041708475,-3204.31432671
blessings,-0.266339106607,-2753.97044572
brighter,-0.264984498565,-2572.5928864
lowly,-0.264969321416,-2816.83041327
promised,-0.264772339273,-4073.23476064
twill,-0.263498364409,-3694.91506875
rugged,-0.263126952694,-3400.37851528
ever,-0.262763278041,-499.075895724
angels,-0.262471694687,-1017.85983247
youthful,-0.260136590727,-2353.85128013
course,-0.259982877989,-1570.93264418
jesus,-0.258867964717,-581.091878542
sparkling,-0.258584360956,-2572.89400322
list,-0.257699128396,-3016.93518179
land,-0.257214579517,-563.540348488
appeared,-0.256618065849,-3370.64573644
pay,-0.255510316759,-2350.06832653
fill,-0.255492732049,-1692.67551072
visit,-0.255294908233,-4425.49337644
portals,-0.254125063059,-4815.26703015
often,-0.254121982042,-1345.88315518
pathway,-0.253059860286,-3007.21388828
varied,-0.251643867003,-2864.56340794
over,-0.251085998071,-237.042250154
christian,-0.250766623554,-1548.06082024
has,-0.250381381906,-392.587332113
fainting,-0.25019659349,-5712.66695813
flow,-0.248278454551,-1134.45922133
kindness,-0.24743899409,-3512.82384441
cherished,-0.2465329196,-2898.08620229
goal,-0.24617290549,-2524.54563678
treasures,-0.245400977625,-2193.37503155
onward,-0.245012584582,-1816.5388189
gloomy,-0.244164550195,-2481.73251711
noble,-0.243818016187,-1226.21553279
homes,-0.243665378152,-2937.68770682
sweetly,-0.242715700072,-2040.601091
sadness,-0.242711601231,-2209.60902556
joys,-0.241995312258,-1189.78212139
firm,-0.241691557342,-2523.31129684
christ,-0.241214374881,-486.41986919
given,-0.24097265247,-1159.00551921
we,-0.240519119072,-106.954993009
brilliant,-0.239401341903,-3013.34523068
regions,-0.239194153225,-3309.32013991
faith,-0.235970354483,-643.521888153
angel,-0.235880875815,-926.97786107
thus,-0.235813637596,-464.480597934
bravely,-0.235582974771,-3723.48387818
western,-0.235236673588,-2741.67965262
leads,-0.233553994036,-2764.49712408
blessed,-0.23349442928,-718.179558931
faithful,-0.231740201892,-1633.03466781
proclaim,-0.231544809496,-3347.85925638
can't,-0.231110968169,-2485.02267641
forever,-0.2307771605,-736.730015135
gently,-0.230160015852,-1906.00747858
ills,-0.22987962681,-3573.50727708
receive,-0.229805677509,-2983.50014643
unfold,-0.229654864896,-3003.23905041
unfurled,-0.229231281572,-4281.74229573
steal,-0.229133868486,-2763.45425775
sheen,-0.229065540421,-3717.37323969
appears,-0.228685823807,-2607.62052112
scene,-0.228594955433,-965.731470494
fond,-0.228389382515,-1108.11122273
friendship,-0.228231911651,-1913.98531319
valour,-0.227391869831,-3654.26572829
rare,-0.227309790229,-1231.4387129
duty,-0.227052831873,-1425.02116494
liberty,-0.226735922433,-1172.28290962
dwell,-0.22564907252,-1381.92512754
manly,-0.225338290129,-3548.96823321
banner,-0.224894541104,-1914.81959016
balmy,-0.224601357786,-2405.03581031
beaming,-0.224326144521,-3292.58958769
gem,-0.224144580547,-2409.6466775
i'm,-0.224114816203,-782.245815483
refrain,-0.22334368439,-3589.17791213
deeds,-0.222846585602,-1441.51848541
greatest,-0.222497326477,-3375.3170932
safety,-0.222321683096,-4045.72132701
john,-0.222269484577,-1151.49174213
